amedas_id,name,longitude,latitude,elevation_m,observed_at,temperature_c,temperature_quality,precipitation_1h_mm,precipitation_1h_quality,wind_speed_ms,wind_speed_quality,wind_direction_code,wind_direction_deg,wind_direction_quality
66136,今岡,134.325,35.098333,207,2026-09-07T07:00:00+09:00,23.6,0,0.0,0,0.8,0,9.0,202.5,0
66171,久世,133.753333,35.068333,144,2026-09-07T07:00:00+09:00,23.7,0,0.0,0,2.2,0,13.0,292.5,0
66186,津山,134.008333,35.063333,146,2026-09-07T07:00:00+09:00,24.2,0,0.0,0,1.5,0,15.0,337.5,0
66221,新見,133.518333,34.943333,393,2026-09-07T07:00:00+09:00,20.3,0,0.0,0,1.3,0,13.0,292.5,0
66226,下呰部,133.628333,34.965,180,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
66237,旭西,133.811667,34.961667,230,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
66251,赤磐,134.081667,34.918333,56,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
66276,陣山,133.523333,34.828333,529,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
66287,吉備中央,133.705,34.816667,340,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
66296,福渡,133.903333,34.866667,63,2026-09-07T07:00:00+09:00,22.4,0,0.0,0,0.4,0,4.0,90.0,0
66306,和気,134.183333,34.815,35,2026-09-07T07:00:00+09:00,22.7,0,0.0,0,0.9,0,1.0,22.5,0
66336,高梁,133.61,34.791667,60,2026-09-07T07:00:00+09:00,23.0,0,0.0,0,1.2,0,16.0,0.0,0
66346,日応寺,133.855,34.756667,239,2026-09-07T07:00:00+09:00,23.2,0,0.0,0,2.7,0,15.0,337.5,0
66381,佐屋,133.445,34.685,390,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
66391,矢掛,133.618333,34.616667,18,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
66408,岡山,133.925,34.685,5,2026-09-07T07:00:00+09:00,24.1,0,0.0,0,1.1,0,13.0,292.5,0
66421,虫明,134.206667,34.681667,10,2026-09-07T07:00:00+09:00,23.6,0,0.0,0,0.3,0,14.0,315.0,0
66446,倉敷,133.768333,34.59,3,2026-09-07T07:00:00+09:00,24.4,0,0.0,0,0.2,0,0.0,0.0,0
66481,笠岡,133.495,34.501667,0,2026-09-07T07:00:00+09:00,25.0,0,0.0,0,1.2,0,16.0,0.0,0
66501,玉野,133.95,34.486667,2,2026-09-07T07:00:00+09:00,25.4,0,0.0,0,1.5,0,15.0,337.5,0
67016,高野,132.901667,35.033333,570,2026-09-07T07:00:00+09:00,19.8,0,0.0,0,2.0,0,16.0,0.0,0
67026,道後山,133.188333,35.056667,729,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
67052,君田,132.83,34.928333,304,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67106,三次,132.85,34.811667,159,2026-09-07T07:00:00+09:00,21.6,0,0.5,0,0.6,0,15.0,337.5,0
67116,庄原,133.023333,34.86,300,2026-09-07T07:00:00+09:00,21.6,0,0.0,0,0.5,0,1.0,22.5,0
67126,東城,133.276667,34.895,310,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67136,八幡,132.173333,34.708333,774,2026-09-07T07:00:00+09:00,,,1.0,0,,,,,
67151,大朝,132.463333,34.768333,399,2026-09-07T07:00:00+09:00,20.4,0,0.0,0,1.4,0,12.0,270.0,0
67161,美土里,132.655,34.721667,318,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67191,油木,133.278333,34.763333,510,2026-09-07T07:00:00+09:00,19.8,0,0.0,0,1.5,0,3.0,67.5,0
67211,王泊,132.311667,34.698333,525,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67212,加計,132.32,34.61,210,2026-09-07T07:00:00+09:00,21.9,0,0.0,0,0.3,0,14.0,315.0,0
67217,都志見,132.443333,34.646667,400,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67231,甲田,132.76,34.695,185,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67251,上下,133.116667,34.693333,384,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
67271,内黒山,132.176667,34.596667,987,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
67292,三入,132.53,34.545,70,2026-09-07T07:00:00+09:00,23.4,0,0.0,0,1.1,0,3.0,67.5,0
67306,安宿,132.838333,34.566667,363,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
67316,世羅,133.05,34.583333,350,2026-09-07T07:00:00+09:00,20.7,0,0.0,0,1.3,0,11.0,247.5,0
