longitude,latitude,display_c,forecast_c,observed_c,average_c,anomaly_c,previous_day_c,previous_diff_c,source_date,target_date
141.40600,45.87500,-3.60,,13.52,17.11,-3.60,13.18,+0.34,2026-09-01,2026-09-01
141.46900,45.87500,-3.59,,13.53,17.12,-3.59,13.19,+0.34,2026-09-01,2026-09-01
141.53100,45.87500,-3.58,,13.54,17.12,-3.58,13.20,+0.34,2026-09-01,2026-09-01
141.59400,45.87500,-3.57,,13.55,17.12,-3.57,13.21,+0.34,2026-09-01,2026-09-01
141.65600,45.87500,-3.55,,13.57,17.12,-3.55,13.22,+0.35,2026-09-01,2026-09-01
141.71900,45.87500,-3.53,,13.59,17.11,-3.53,13.24,+0.35,2026-09-01,2026-09-01
141.78100,45.87500,-3.50,,13.61,17.10,-3.50,13.25,+0.35,2026-09-01,2026-09-01
141.84400,45.87500,-3.34,,13.62,16.96,-3.34,13.27,+0.35,2026-09-01,2026-09-01
141.90600,45.87500,-3.31,,13.64,16.94,-3.31,13.28,+0.36,2026-09-01,2026-09-01
141.96900,45.87500,-3.27,,13.64,16.92,-3.27,13.28,+0.36,2026-09-01,2026-09-01
142.03100,45.87500,-3.24,,13.64,16.89,-3.24,13.28,+0.36,2026-09-01,2026-09-01
142.09400,45.87500,-3.26,,13.59,16.85,-3.26,13.28,+0.32,2026-09-01,2026-09-01
142.15600,45.87500,-3.19,,13.62,16.82,-3.19,13.32,+0.30,2026-09-01,2026-09-01
142.21900,45.87500,-3.13,,13.65,16.78,-3.13,13.36,+0.29,2026-09-01,2026-09-01
142.28100,45.87500,-3.07,,13.67,16.74,-3.07,13.39,+0.28,2026-09-01,2026-09-01
142.34400,45.87500,-3.02,,13.68,16.70,-3.02,13.41,+0.27,2026-09-01,2026-09-01
141.40600,45.82500,-3.60,,13.53,17.13,-3.60,13.20,+0.33,2026-09-01,2026-09-01
141.46900,45.82500,-3.60,,13.54,17.14,-3.60,13.21,+0.33,2026-09-01,2026-09-01
141.53100,45.82500,-3.59,,13.55,17.14,-3.59,13.22,+0.34,2026-09-01,2026-09-01
141.59400,45.82500,-3.57,,13.57,17.14,-3.57,13.23,+0.34,2026-09-01,2026-09-01
141.65600,45.82500,-3.55,,13.59,17.14,-3.55,13.24,+0.34,2026-09-01,2026-09-01
141.71900,45.82500,-3.52,,13.61,17.13,-3.52,13.26,+0.35,2026-09-01,2026-09-01
141.78100,45.82500,-3.49,,13.64,17.13,-3.49,13.29,+0.35,2026-09-01,2026-09-01
141.84400,45.82500,-3.45,,13.66,17.11,-3.45,13.31,+0.35,2026-09-01,2026-09-01
141.90600,45.82500,-3.29,,13.68,16.98,-3.29,13.33,+0.36,2026-09-01,2026-09-01
141.96900,45.82500,-3.25,,13.69,16.95,-3.25,13.34,+0.36,2026-09-01,2026-09-01
142.03100,45.82500,-3.22,,13.69,16.91,-3.22,13.33,+0.36,2026-09-01,2026-09-01
142.09400,45.82500,-3.22,,13.66,16.88,-3.22,13.34,+0.31,2026-09-01,2026-09-01
142.15600,45.82500,-3.15,,13.68,16.84,-3.15,13.38,+0.30,2026-09-01,2026-09-01
142.21900,45.82500,-3.09,,13.71,16.79,-3.09,13.42,+0.29,2026-09-01,2026-09-01
142.28100,45.82500,-3.03,,13.72,16.75,-3.03,13.45,+0.27,2026-09-01,2026-09-01
142.34400,45.82500,-2.97,,13.74,16.71,-2.97,13.47,+0.26,2026-09-01,2026-09-01
141.40600,45.77500,-3.61,,13.54,17.15,-3.61,13.22,+0.32,2026-09-01,2026-09-01
141.46900,45.77500,-3.60,,13.55,17.16,-3.60,13.23,+0.33,2026-09-01,2026-09-01
141.53100,45.77500,-3.60,,13.57,17.16,-3.60,13.24,+0.33,2026-09-01,2026-09-01
141.59400,45.77500,-3.58,,13.58,17.16,-3.58,13.25,+0.33,2026-09-01,2026-09-01
141.65600,45.77500,-3.56,,13.60,17.16,-3.56,13.26,+0.34,2026-09-01,2026-09-01
141.71900,45.77500,-3.52,,13.63,17.16,-3.52,13.29,+0.35,2026-09-01,2026-09-01
141.78100,45.77500,-3.48,,13.67,17.15,-3.48,13.32,+0.35,2026-09-01,2026-09-01
141.84400,45.77500,-3.43,,13.71,17.14,-3.43,13.36,+0.35,2026-09-01,2026-09-01
141.90600,45.77500,-3.27,,13.74,17.01,-3.27,13.39,+0.36,2026-09-01,2026-09-01
141.96900,45.77500,-3.22,,13.76,16.98,-3.22,13.40,+0.36,2026-09-01,2026-09-01
142.03100,45.77500,-3.18,,13.76,16.94,-3.18,13.40,+0.36,2026-09-01,2026-09-01
142.09400,45.77500,-3.17,,13.74,16.90,-3.17,13.42,+0.31,2026-09-01,2026-09-01
142.15600,45.77500,-3.10,,13.76,16.86,-3.10,13.46,+0.30,2026-09-01,2026-09-01
142.21900,45.77500,-3.03,,13.78,16.81,-3.03,13.50,+0.28,2026-09-01,2026-09-01
142.28100,45.77500,-2.97,,13.79,16.76,-2.97,13.52,+0.26,2026-09-01,2026-09-01
142.34400,45.77500,-2.92,,13.80,16.71,-2.92,13.55,+0.25,2026-09-01,2026-09-01
141.40600,45.72500,-3.61,,13.56,17.17,-3.61,13.24,+0.32,2026-09-01,2026-09-01
141.46900,45.72500,-3.61,,13.57,17.18,-3.61,13.25,+0.32,2026-09-01,2026-09-01
141.53100,45.72500,-3.60,,13.58,17.18,-3.60,13.26,+0.32,2026-09-01,2026-09-01
141.59400,45.72500,-3.59,,13.60,17.19,-3.59,13.27,+0.33,2026-09-01,2026-09-01
141.65600,45.72500,-3.57,,13.62,17.19,-3.57,13.28,+0.34,2026-09-01,2026-09-01
141.71900,45.72500,-3.53,,13.66,17.18,-3.53,13.31,+0.34,2026-09-01,2026-09-01
141.78100,45.72500,-3.46,,13.71,17.17,-3.46,13.36,+0.35,2026-09-01,2026-09-01
141.84400,45.72500,-3.38,,13.78,17.16,-3.38,13.42,+0.35,2026-09-01,2026-09-01
141.90600,45.72500,-3.22,,13.83,17.05,-3.22,13.48,+0.35,2026-09-01,2026-09-01
141.96900,45.72500,-3.15,,13.86,17.01,-3.15,13.50,+0.36,2026-09-01,2026-09-01
142.03100,45.72500,-3.12,,13.86,16.97,-3.12,13.50,+0.36,2026-09-01,2026-09-01
142.09400,45.72500,-3.09,,13.84,16.93,-3.09,13.53,+0.31,2026-09-01,2026-09-01
142.15600,45.72500,-3.03,,13.85,16.88,-3.03,13.56,+0.29,2026-09-01,2026-09-01
