longitude,latitude,display_c,forecast_c,observed_c,average_c,anomaly_c,previous_day_c,previous_diff_c,source_date,target_date
142.03100,45.72500,16.96,,16.96,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.09400,45.72500,16.31,,16.31,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.15600,45.72500,16.22,,16.22,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.21900,45.72500,16.12,,16.12,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.28100,45.72500,16.02,,16.02,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.34400,45.72500,15.94,,15.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.65600,45.67500,19.95,,19.95,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.71900,45.67500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.78100,45.67500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.84400,45.67500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.90600,45.67500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.96900,45.67500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.03100,45.67500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.09400,45.67500,19.25,,19.25,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.15600,45.67500,19.18,,19.18,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.21900,45.67500,19.08,,19.08,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.28100,45.67500,18.97,,18.97,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.34400,45.67500,17.64,,17.64,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.40600,45.67500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.46900,45.67500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.53100,45.67500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.59400,45.67500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.65600,45.67500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.71900,45.67500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.78100,45.67500,16.93,,16.93,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.84400,45.67500,16.96,,16.96,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.90600,45.67500,16.99,,16.99,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.96900,45.67500,17.00,,17.00,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.03100,45.67500,16.51,,16.51,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.09400,45.67500,16.39,,16.39,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.15600,45.67500,16.25,,16.25,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.21900,45.67500,16.12,,16.12,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.28100,45.67500,15.99,,15.99,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.34400,45.67500,15.89,,15.89,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.40600,45.67500,15.82,,15.82,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.46900,45.67500,15.76,,15.76,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.53100,45.67500,15.83,,15.83,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.59400,45.67500,15.81,,15.81,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.65600,45.62500,19.95,,19.95,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.71900,45.62500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.78100,45.62500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.84400,45.62500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.90600,45.62500,19.94,,19.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
140.96900,45.62500,19.93,,19.93,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.03100,45.62500,19.93,,19.93,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.09400,45.62500,19.93,,19.93,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.15600,45.62500,19.24,,19.24,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.21900,45.62500,19.13,,19.13,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.28100,45.62500,19.00,,19.00,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.34400,45.62500,17.68,,17.68,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.40600,45.62500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.46900,45.62500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.53100,45.62500,16.92,,16.92,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.59400,45.62500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.65600,45.62500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.71900,45.62500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.78100,45.62500,16.94,,16.94,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.84400,45.62500,17.00,,17.00,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.90600,45.62500,17.05,,17.05,,,,,2026-09-07,2026-09-07T07:00:00+09:00
