longitude,latitude,display_c,forecast_c,observed_c,average_c,anomaly_c,previous_day_c,previous_diff_c,source_date,target_date
141.40600,45.87500,-1.27,,12.10,13.37,-1.27,17.13,-5.02,2026-09-15,2026-09-15
141.46900,45.87500,-1.29,,12.09,13.38,-1.29,17.11,-5.02,2026-09-15,2026-09-15
141.53100,45.87500,-1.32,,12.07,13.39,-1.32,17.09,-5.02,2026-09-15,2026-09-15
141.59400,45.87500,-1.34,,12.06,13.39,-1.34,17.07,-5.01,2026-09-15,2026-09-15
141.65600,45.87500,-1.35,,12.04,13.39,-1.35,17.04,-5.00,2026-09-15,2026-09-15
141.71900,45.87500,-1.36,,12.02,13.38,-1.36,17.01,-5.00,2026-09-15,2026-09-15
141.78100,45.87500,-1.36,,12.00,13.36,-1.36,16.99,-4.99,2026-09-15,2026-09-15
141.84400,45.87500,-1.31,,11.98,13.29,-1.31,16.96,-4.98,2026-09-15,2026-09-15
141.90600,45.87500,-1.29,,11.96,13.25,-1.29,16.94,-4.98,2026-09-15,2026-09-15
141.96900,45.87500,-1.25,,11.95,13.20,-1.25,16.93,-4.98,2026-09-15,2026-09-15
142.03100,45.87500,-1.21,,11.94,13.15,-1.21,16.91,-4.98,2026-09-15,2026-09-15
142.09400,45.87500,-2.29,,10.79,13.08,-2.29,15.61,-4.82,2026-09-15,2026-09-15
142.15600,45.87500,-2.25,,10.77,13.02,-2.25,15.55,-4.78,2026-09-15,2026-09-15
142.21900,45.87500,-2.21,,10.73,12.95,-2.21,15.48,-4.75,2026-09-15,2026-09-15
142.28100,45.87500,-2.18,,10.70,12.88,-2.18,15.41,-4.72,2026-09-15,2026-09-15
142.34400,45.87500,-2.14,,10.66,12.80,-2.14,15.35,-4.69,2026-09-15,2026-09-15
141.40600,45.82500,-1.29,,12.13,13.42,-1.29,17.14,-5.01,2026-09-15,2026-09-15
141.46900,45.82500,-1.32,,12.11,13.44,-1.32,17.12,-5.01,2026-09-15,2026-09-15
141.53100,45.82500,-1.35,,12.10,13.45,-1.35,17.10,-5.01,2026-09-15,2026-09-15
141.59400,45.82500,-1.38,,12.07,13.45,-1.38,17.07,-5.00,2026-09-15,2026-09-15
141.65600,45.82500,-1.40,,12.05,13.45,-1.40,17.04,-4.99,2026-09-15,2026-09-15
141.71900,45.82500,-1.42,,12.03,13.44,-1.42,17.01,-4.98,2026-09-15,2026-09-15
141.78100,45.82500,-1.42,,12.00,13.42,-1.42,16.98,-4.97,2026-09-15,2026-09-15
141.84400,45.82500,-1.41,,11.98,13.39,-1.41,16.94,-4.96,2026-09-15,2026-09-15
141.90600,45.82500,-1.35,,11.96,13.31,-1.35,16.92,-4.95,2026-09-15,2026-09-15
141.96900,45.82500,-1.31,,11.95,13.26,-1.31,16.90,-4.95,2026-09-15,2026-09-15
142.03100,45.82500,-1.26,,11.93,13.20,-1.26,16.89,-4.95,2026-09-15,2026-09-15
142.09400,45.82500,-2.27,,10.85,13.13,-2.27,15.64,-4.79,2026-09-15,2026-09-15
142.15600,45.82500,-2.24,,10.81,13.05,-2.24,15.56,-4.75,2026-09-15,2026-09-15
142.21900,45.82500,-2.21,,10.77,12.98,-2.21,15.48,-4.71,2026-09-15,2026-09-15
142.28100,45.82500,-2.18,,10.72,12.90,-2.18,15.40,-4.68,2026-09-15,2026-09-15
142.34400,45.82500,-2.14,,10.67,12.82,-2.14,15.32,-4.65,2026-09-15,2026-09-15
141.40600,45.77500,-1.31,,12.16,13.47,-1.31,17.16,-5.00,2026-09-15,2026-09-15
141.46900,45.77500,-1.35,,12.15,13.50,-1.35,17.15,-5.00,2026-09-15,2026-09-15
141.53100,45.77500,-1.38,,12.13,13.51,-1.38,17.12,-4.99,2026-09-15,2026-09-15
141.59400,45.77500,-1.42,,12.10,13.52,-1.42,17.09,-4.99,2026-09-15,2026-09-15
141.65600,45.77500,-1.45,,12.07,13.52,-1.45,17.05,-4.98,2026-09-15,2026-09-15
141.71900,45.77500,-1.47,,12.04,13.51,-1.47,17.01,-4.97,2026-09-15,2026-09-15
141.78100,45.77500,-1.48,,12.01,13.49,-1.48,16.96,-4.95,2026-09-15,2026-09-15
141.84400,45.77500,-1.47,,11.98,13.46,-1.47,16.92,-4.93,2026-09-15,2026-09-15
141.90600,45.77500,-1.41,,11.96,13.37,-1.41,16.88,-4.92,2026-09-15,2026-09-15
141.96900,45.77500,-1.37,,11.95,13.32,-1.37,16.86,-4.91,2026-09-15,2026-09-15
142.03100,45.77500,-1.31,,11.93,13.25,-1.31,16.85,-4.91,2026-09-15,2026-09-15
142.09400,45.77500,-2.25,,10.92,13.17,-2.25,15.67,-4.75,2026-09-15,2026-09-15
142.15600,45.77500,-2.22,,10.87,13.09,-2.22,15.58,-4.71,2026-09-15,2026-09-15
142.21900,45.77500,-2.20,,10.80,13.00,-2.20,15.47,-4.67,2026-09-15,2026-09-15
142.28100,45.77500,-2.17,,10.74,12.91,-2.17,15.37,-4.63,2026-09-15,2026-09-15
142.34400,45.77500,-2.14,,10.68,12.82,-2.14,15.28,-4.60,2026-09-15,2026-09-15
141.40600,45.72500,-1.32,,12.21,13.53,-1.32,17.19,-4.99,2026-09-15,2026-09-15
141.46900,45.72500,-1.36,,12.19,13.55,-1.36,17.18,-4.98,2026-09-15,2026-09-15
141.53100,45.72500,-1.40,,12.17,13.57,-1.40,17.15,-4.98,2026-09-15,2026-09-15
141.59400,45.72500,-1.45,,12.13,13.58,-1.45,17.11,-4.98,2026-09-15,2026-09-15
141.65600,45.72500,-1.49,,12.09,13.58,-1.49,17.06,-4.97,2026-09-15,2026-09-15
141.71900,45.72500,-1.52,,12.05,13.57,-1.52,17.00,-4.96,2026-09-15,2026-09-15
141.78100,45.72500,-1.54,,12.01,13.55,-1.54,16.94,-4.93,2026-09-15,2026-09-15
141.84400,45.72500,-1.53,,11.98,13.52,-1.53,16.88,-4.90,2026-09-15,2026-09-15
141.90600,45.72500,-1.47,,11.97,13.44,-1.47,16.84,-4.87,2026-09-15,2026-09-15
141.96900,45.72500,-1.42,,11.95,13.37,-1.42,16.81,-4.86,2026-09-15,2026-09-15
142.03100,45.72500,-1.36,,11.94,13.30,-1.36,16.80,-4.86,2026-09-15,2026-09-15
